,username,Tweet,retweet_count,predicted_sentiment
33,bumnsidempuanhebat,sobat bumn    pt asdp indonesia ferry berupaya memberikan pelayanan yang optimal untuk perjalanan mudik dan arus balik lebaran tahun ini    asdpindonesiaferry  angkutanlebaran2023  mudiklebaran2023  tiketferryasdp   ferizy      hlf0o4bmrz,0,positive
34,i̶v̶a̶a̶a̶n̶, ayang utriza  bung madin  kpk ri ngga cuma serang  tapi se provinsi banten     banten menurut gua provinsi paling teinggal      kalo mudik ke pandeglang dari jkt buset itu jalur sta dari polres tangerang ga sanggup   balaraj  cikande masya allah,0,positive
35,BUYA JALUL / freetag ato free semua 🍍,  akang hero  idul fitri 2023 kemarin saya mudik ke kampung ibu saya di garawangi kuningan  ada cerita menarik dari adik saya  bahwa sete ,182,positive
36,éka,  inizali  akhir2 ini tiap malem w suka buka yutub prank mudik wkwk     seru banget sampe nangis     salah satunya ini  mbacx dah 5 taun ,107,positive
37,Kodok Ijo 🐸,buat pelajaran aja  karena h   2 kurir pada mudik  pesan baju buat sang anak buat dipake pas lebaran  dijanjikan penjual akan dikirim sampai sbelum lebaran  bajunya pas sampai di terima malah stlh lebaran  pria ini ungkapkan kekesalannya dengan merobek robek baju pesanan tersebut      rpmtkulqyr,1,neutral
38,Ujuk-ujuk,  sosmedkeras  mudik      ddsqn5q4dh,444,positive
39,10.,  sosmedkeras  mudik      ddsqn5q4dh,444,positive
40,Kang Betmen..🦇, billray2019 sama aja pas di demo  mudik kaya seniornya     ,0,neutral
41,Hansya Janari,anwar abbas puji kepercayaan polri naik   tak pernah mudik selancar ini        qnrfuwnyql   polri  presisi  polisi  hoegeng  jabar  indonesia  motogp  iphone  sunda  indonesia  iibur  buruh  mayday  bitcoin  senin  viral  malaysia  jateng  coldplay,0,negative
42,hari satiman,  iguanaaaa   paaisocmed  jokowi pak  jokowi  klo ke rumbia  harus dicoba lewat seputih mataram bandar mataram juga  pak  kalau malem m ,1,positive
43,Mz Dony,  akang hero  idul fitri 2023 kemarin saya mudik ke kampung ibu saya di garawangi kuningan  ada cerita menarik dari adik saya  bahwa sete ,182,positive
44,Kapten69.Official,oh jadi gini le   link        1znjktrqjh telegram        knvwprqevg  kapten69  peluang69  kapten69slot  kapten69alternatif  kapten69login  masukkapten69  cewekngentot  slot  slotonline  mudik  viral  virgoun  lagiviral      cuzwppbog6,0,neutral
45,Pida,walaupun mudiknya uda usai  bisalah tips persiapan mudik lebarannya di siapkan untuk bulan depan hehehe      slsonacfpr,0,positive
46,Kaito KID, grmatchaaa ini tutorial mudik atau liburan mba    ,0,positive
47,dany3w jayhoon dark blood era,ini to gw kerjain pas perjalanan mudik sih jadi smuanya nembak c,0,negative
48,Elvina anggraini,viral    pohon sepei monster   link        rd9jnnfxx3 telegram        jx7rqhavd3  kapten69  peluang69  kapten69slot  kapten69alternatif  kapten69login  masukkapten69  cewekngentot  slot  slotonline  mudik  viral  virgoun  lagiviral      ebjl4phh,0,neutral
49,$haqueenavia,mudik itu capek tapi seneng,0,positive
50,Ncus,  inizali  akhir2 ini tiap malem w suka buka yutub prank mudik wkwk     seru banget sampe nangis     salah satunya ini  mbacx dah 5 taun ,107,positive
51,bunny,  haniff drumb  ojol strght kntl uncut udh 3 minggu ga dikeluarin gara2 bini mudik pantesan pejunya melimpah  gabung grup telegram vip dg ,333,neutral
52,rully,  haniff drumb  ojol strght kntl uncut udh 3 minggu ga dikeluarin gara2 bini mudik pantesan pejunya melimpah  gabung grup telegram vip dg ,333,neutral
53,-_-,  sosmedkeras  mudik      ddsqn5q4dh,444,positive
54,Ebbe Matya,  akang hero  idul fitri 2023 kemarin saya mudik ke kampung ibu saya di garawangi kuningan  ada cerita menarik dari adik saya  bahwa sete ,182,positive
55,antaranews.com,muhadjir effendy  menko pmk  mengatakan kenyamanan dan keamanan masyarakat selama arus mudik dan arus milir lebaran 2023 menjadi prioritas        95lf274g4i,1,positive
56,Dep.,  fahmifasolasido   tanyakanrl dulu waktu kecil pas mudik  buat gw     liat got yg airnya jernih  amp  dingin  itu something bgt  apalagi ada ,32,negative
57,Seo Woojin ⑉, jaemain hihi win gegenya lg mudik  g,0,neutral
58,kemakinomor_siji,  akang hero  idul fitri 2023 kemarin saya mudik ke kampung ibu saya di garawangi kuningan  ada cerita menarik dari adik saya  bahwa sete ,182,positive
59,kentang goreng,  haniff drumb  ojol strght kntl uncut udh 3 minggu ga dikeluarin gara2 bini mudik pantesan pejunya melimpah  gabung grup telegram vip dg ,333,neutral
60,Ika Jatnika,  bung madin  bung madin mau beanya sama bupati kabupaten serang kenapa kaget lihat jalan rusak    kemana saja bu   apa ibu lagi jalan  ,44,neutral
61,CHOTIBUL UMAM,  hmpetrus  pak jokowi gagal melestarikan tradisi mudik  benar  gagal total  harusnya 2 hari 2 malam  kini hanya 11 jam        xr ,30,neutral
62,777,dump slama otw mudik      xnoehflxbu,0,positive
63,zatmetttt,  sosmedkeras  mudik      ddsqn5q4dh,444,positive
64,JAGAT,mudik gelombang peama sudah mudik gelombang kedua sudah  waktunya kembali ke kehidupan biasanya,0,neutral
65,azhI-Ihza,  sosmedkeras  mudik      ddsqn5q4dh,444,positive
66,Johan Woda,  bung madin  bung madin mau beanya sama bupati kabupaten serang kenapa kaget lihat jalan rusak    kemana saja bu   apa ibu lagi jalan  ,44,neutral
67,𝚖𝚎𝚕𝚒𝚜𝚊•°♡ʕ •ᴥ•ʔ◇°•, tanyakanrl masih ada  soalnya kmaren gue mudik  meski udh gw kasi emak,0,negative
68,azmi villain era,kenapa dia ngajak ngewe selalu di saat yang gak pas sih   mau mudik lah  lagi bete lah  mana bisa enjoy gw kalo lagi sensi mah,0,negative
69,read0one,  akang hero  idul fitri 2023 kemarin saya mudik ke kampung ibu saya di garawangi kuningan  ada cerita menarik dari adik saya  bahwa sete ,182,positive
70,Pida,walaupun mudiknya dh kelar  bisa lah persiapan untuk mudik lebaran bulan depan hehehe      slsonacfpr,0,neutral
71,GoodPoliceID,     rn4kjbfa2p  survei indikator politik indonesia menyebutkan tingkat kepercayaan publik ke polri naik menjadi 73 2   legislator pk mengapresiasi kinerja polri yang meningkat ,0,negative
72,GoodPoliceID,     8ht48dqpxv  kesatuan mahasiswa hindu dharma indonesia  kmhdi  mengapresiasi pelayanan polri pada masyarakat di momen mudik lebaran 2023 ,0,neutral
73,.,  inizali  akhir2 ini tiap malem w suka buka yutub prank mudik wkwk     seru banget sampe nangis     salah satunya ini  mbacx dah 5 taun ,107,positive
74,♌️,capek yaaaa mudik dengan stamina ga full  ,0,negative
75,rian r tandra, idextratime mudik emg brp bang eti ,0,neutral
76,daniel,  joko23537370  seblom mudik jatah boty      zdqovzfwc2,1153,positive
77,gun, paaisocmed  jokowi pak  jokowi  klo ke rumbia  harus dicoba lewat seputih mataram bandar mataram juga  pak  kalau malem minim penerangan  banyak kecelakaan  truk ngoleng  kemarin pulang mudik kaya gini          kmety4sohc      awg9882x1j,1,positive
78,Fitar🍫,  inizali  akhir2 ini tiap malem w suka buka yutub prank mudik wkwk     seru banget sampe nangis     salah satunya ini  mbacx dah 5 taun ,107,positive
79,matcha, strawberrynnas kurirnya masi mudik kali ya   ,0,neutral
80,Recy Nuryana,  biasalahanakmud  kumpulan keabsurdan rumah mudik orang orang   a thread       dngchk2qvq,8241,negative
81,Kapten69.Official,viral    pohon sepei monster   link        1znjktrqjh telegram        knvwprqevg  kapten69  peluang69  kapten69slot  kapten69alternatif  kapten69login  masukkapten69  cewekngentot  slot  slotonline  mudik  viral  virgoun  lagiviral      dbpgsvqtmr,0,neutral
82,jjell 🩵,ini juga ampuh di gue tapi kalo perjalanannya jauh banget plus ditambah macet dimana mana mah malah pusing dan mengundang rasa mual  jadi gue ganti lagi metode lain  metode paling akhir  minum antimo wkwkwk beneran ampuh buat gue yang saat itu perjalanan mudik 2 hari 2 malam    ,0,negative
83,♡, tanyakanrl mau mudik  ,0,neutral
84,PernahBanggaPunyaKamu,  dika540010201  main sm kuli kenal di aplikasi biru    pas mudik ke kampung   gaysurabaya      jvinqglimw,15,neutral
85,slaY,  sosmedkeras  mudik      ddsqn5q4dh,444,positive
86,Fandy Bayu Aditya,tangerang masih gaya bebas  masih mudik semua warung  ,0,neutral
87,Elvina anggraini,oh jadi gini le   link        rd9jnnfxx3 telegram        jx7rqhavd3  kapten69  peluang69  kapten69slot  kapten69alternatif  kapten69login  masukkapten69  cewekngentot  slot  slotonline  mudik  viral  virgoun  lagiviral      4zvtfeuabs,0,neutral
88,Gawonse.,  inizali  akhir2 ini tiap malem w suka buka yutub prank mudik wkwk     seru banget sampe nangis     salah satunya ini  mbacx dah 5 taun ,107,positive
89,Memontum Online,tol paspro beroperasi  jalur selatan probolinggo saat arus mudik dan arus balik tak lagi macet      iqbpqn07f8,0,positive
90,Suryo Bumi,  akang hero  idul fitri 2023 kemarin saya mudik ke kampung ibu saya di garawangi kuningan  ada cerita menarik dari adik saya  bahwa sete ,182,positive
91,Nael100, borne0kratom  nggalogis  el4n9bint4n9  jokowi mengkritik sebuah janji di tahun 2014 tapi tidak menyeakan beberapa bukti masa skrng sepei kelancaran arus mudik  tahun ini   rasa nya itu tidak adil om,0,negative
92,Ox.Melfi88k Kk, shill ronin bismillah win buat mudik aamiin      eq0fs0frgu,0,positive
93,antaranews.com,jalur puncak  kab  cianjur  masih ramai lancar dilalui kendaraan dengan ciri khas mudik tujuan balik jabodetabek yang berbaur dengan kendaraan wisatawan        p2ezkddycx,0,positive
94,Putu Ragil,  1trenggalek  halo sobat semua   begini kata mereka tentang balik mudik lebaran 2023 di trenggalek  bagaimana pesan dan kesan anda selam ,5,neutral
95,bumnsidempuanhebat,bulog berangkatkan 300 pesea mudik gratis bumn 2023    mudikgratisbumn2023  bulog      wxv6fdxqyr,0,neutral
96,𝓚𝓾𝓼𝓾𝓶𝓪 𝓦𝓪𝓻𝓭𝓱𝓪𝓷𝔂 ,bnr  rejeki punya tetangga baik  pada balik dr mudik eh ada yg ngasih krupuk ngasih sayur mayur  ngasih kue ngasih daster    alhamdulillah,0,positive
97,udah ketemu wayv!,ini tuh numpuk karena udah close queue siang itu  jadinya after fanmeet membludak nguler  esp yang seating tuh masih bisa banget foto  di fanzone ketika standing udah masuk   akan ngurangin numpuk abis acara    baru denger sih ada fanzone tutup buka gini kek jalur mudik lebaran,0,neutral
98,MENCARI KEADILAN,  akang hero  idul fitri 2023 kemarin saya mudik ke kampung ibu saya di garawangi kuningan  ada cerita menarik dari adik saya  bahwa sete ,182,positive
